locality,postal_code,district,province,province_int,region,region_int,district_int,ratio_free_build
De Haan,8421,Oostende,flandre-occidentale,0,flandre,0,37,-1.9578914010844213
Middelkerke,8432,Oostende,flandre-occidentale,0,flandre,0,37,-1.6220992740064766
Anzegem,8573,Courtrai,flandre-occidentale,0,flandre,0,25,-2.3983149064460143
Ruiselede,8755,Tielt,flandre-occidentale,0,flandre,0,40,-2.122557112943163
Meulebeke,8760,Tielt,flandre-occidentale,0,flandre,0,40,-2.5106154972437174
Waregem,8791,Courtrai,flandre-occidentale,0,flandre,0,25,-2.8888252566599966
Poperinge,8978,Ypres,flandre-occidentale,0,flandre,0,27,-1.8027570770654158
Gent,9030,Gent,flandre-orientale,1,flandre,0,10,-2.6573197395842385
Gent,9041,Gent,flandre-orientale,1,flandre,0,10,-2.6573197395842385
Gent,9042,Gent,flandre-orientale,1,flandre,0,10,-2.6573197395842385
Moerbeke,9112,Gent,flandre-orientale,1,flandre,0,10,-1.617889428480672
Wachtebeke,9185,Gent,flandre-orientale,1,flandre,0,10,-1.6749404319044083
Stekene,9190,Sint-Niklaas,flandre-orientale,1,flandre,0,38,-2.3198773336131246
Waasmunster,9250,Dendermonde,flandre-orientale,1,flandre,0,35,-2.4585754656813776
Denderleeuw,9472,Aalst,flandre-orientale,1,flandre,0,13,-2.9025385517610043
Moerbeke,9500,Gent,flandre-orientale,1,flandre,0,10,-1.617889428480672
Maarkedal,9688,Audenarde,flandre-orientale,1,flandre,0,19,-1.9795429398793751
Lievegem,9921,Gent,flandre-orientale,1,flandre,0,10,-2.233278146200114
Assenede,9961,Eeklo,flandre-orientale,1,flandre,0,42,-1.7513199513167328
Sint-Laureins,9982,Eeklo,flandre-orientale,1,flandre,0,42,-1.3603794673916465
Maldegem,9990,Eeklo,flandre-orientale,1,flandre,0,42,-2.0755419727263984
Brussel,1000,Bruxelles-Capitale,bruxelles-capitale,3,bruxelles-capitale,2,30,-2.581414936244784
Sint-Agatha-Berchem,1082,Bruxelles-Capitale,bruxelles-capitale,3,bruxelles-capitale,2,30,-3.3375599132776372
Halle,1502,Hal-Vilvorde,brabant-flamand,5,flandre,0,8,-2.4622502007683056
Hoeilaart,1560,Hal-Vilvorde,brabant-flamand,5,flandre,0,8,-2.6798212210181607
Beersel,1653,Hal-Vilvorde,brabant-flamand,5,flandre,0,8,-2.8513215326091834
Dilbeek,1703,Hal-Vilvorde,brabant-flamand,5,flandre,0,8,-2.8630481610719882
Machelen,1830,Hal-Vilvorde,brabant-flamand,5,flandre,0,8,-2.380667701539006
Grimbergen,1853,Hal-Vilvorde,brabant-flamand,5,flandre,0,8,-2.555973344454642
Meise,1861,Hal-Vilvorde,brabant-flamand,5,flandre,0,8,-2.539691056435877
Antwerpen,2020,Antwerpen,anvers,2,flandre,0,17,-2.3140252327608355
Zwijndrecht,2070,Antwerpen,anvers,2,flandre,0,17,-2.1342220214179983
Wijnegem,2110,Antwerpen,anvers,2,flandre,0,17,-2.8231538261776645
Wommelgem,2160,Antwerpen,anvers,2,flandre,0,17,-2.8196498970838393
Olen,2250,Turnhout,anvers,2,flandre,0,22,-2.5644481755942903
Herenthout,2270,Turnhout,anvers,2,flandre,0,22,-2.1614663906754874
Vorselaar,2290,Turnhout,anvers,2,flandre,0,22,-2.0245734544072347
Hoogstraten,2321,Turnhout,anvers,2,flandre,0,22,-1.776175427538883
Hoogstraten,2328,Turnhout,anvers,2,flandre,0,22,-1.776175427538883
Vosselaar,2350,Turnhout,anvers,2,flandre,0,22,-3.0743109327978875
Boechout,2530,Antwerpen,anvers,2,flandre,0,17,-2.4329441630996653
Boechout,2531,Antwerpen,anvers,2,flandre,0,17,-2.4329441630996653
Antwerpen,2600,Antwerpen,anvers,2,flandre,0,17,-2.3140252327608355
Mortsel,2640,Antwerpen,anvers,2,flandre,0,17,-3.1076588505474834
Niel,2845,Antwerpen,anvers,2,flandre,0,17,-2.6433874566847626
Schoten,2900,Antwerpen,anvers,2,flandre,0,17,-3.112322197875105
Leuven,3018,Leuven,brabant-flamand,5,flandre,0,2,-2.8679393659617713
Bertem,3061,Leuven,brabant-flamand,5,flandre,0,2,-2.1000555115584603
Tremelo,3120,Leuven,brabant-flamand,5,flandre,0,2,-3.086552079456973
Keerbergen,3140,Leuven,brabant-flamand,5,flandre,0,2,-3.4114510568382297
Boortmeerbeek,3190,Leuven,brabant-flamand,5,flandre,0,2,-2.853939125069828
Lubbeek,3211,Leuven,brabant-flamand,5,flandre,0,2,-2.483941950106021
Holsbeek,3221,Leuven,brabant-flamand,5,flandre,0,2,-2.2664043012951383
Diest,3293,Leuven,brabant-flamand,5,flandre,0,2,-2.1251155852194663
Kortenaken,3473,Leuven,brabant-flamand,5,flandre,0,2,-1.9062419135888526
Aarschot,3540,Leuven,brabant-flamand,5,flandre,0,2,-2.542434858074915
As,3668,Hasselt,limbourg,7,flandre,0,20,-2.186214723672551
Kortessem,3721,Tongres,limbourg,7,flandre,0,7,-2.0055208730404934
Kortessem,3722,Tongres,limbourg,7,flandre,0,7,-2.0055208730404934
Bilzen,3742,Tongres,limbourg,7,flandre,0,7,-2.283690912320083
Leopoldsburg,3970,Hasselt,limbourg,7,flandre,0,20,-2.558681414891556
Moeskroen,7700,Tournai et Mouscron,hainaut,6,wallonie,1,6,-2.8728740402270794
Bredene,8450,Oostende,flandre-occidentale,0,flandre,0,37,-2.663296501952888
Harelbeke,8531,Courtrai,flandre-occidentale,0,flandre,0,25,-2.767449526461732
Zwevegem,8552,Courtrai,flandre-occidentale,0,flandre,0,25,-2.2888932328767595
Avelgem,8583,Courtrai,flandre-occidentale,0,flandre,0,25,-2.408787917237554
Waregem,8792,Courtrai,flandre-occidentale,0,flandre,0,25,-2.8888252566599966
Ieper,8906,Ypres,flandre-occidentale,0,flandre,0,27,-2.001825603865199
Heuvelland,8954,Ypres,flandre-occidentale,0,flandre,0,27,-1.470630812107972
Mesen,8957,Ypres,flandre-occidentale,0,flandre,0,27,-1.9172826458784642
Heuvelland,8958,Ypres,flandre-occidentale,0,flandre,0,27,-1.470630812107972
Gent,9040,Gent,flandre-orientale,1,flandre,0,10,-2.6573197395842385
Gent,9052,Gent,flandre-orientale,1,flandre,0,10,-2.6573197395842385
Sint-Niklaas,9111,Sint-Niklaas,flandre-orientale,1,flandre,0,38,-2.6292480821096347
Aalst,9300,Aalst,flandre-orientale,1,flandre,0,13,-2.7404329520501327
Ninove,9401,Aalst,flandre-orientale,1,flandre,0,13,-2.3600279365253214
Haaltert,9451,Aalst,flandre-orientale,1,flandre,0,13,-2.625452333651838
Denderleeuw,9473,Aalst,flandre-orientale,1,flandre,0,13,-2.9025385517610043
Zottegem,9520,Aalst,flandre-orientale,1,flandre,0,13,-2.46943743532685
Lierde,9571,Audenarde,flandre-orientale,1,flandre,0,19,-2.122495344321107
Lierde,9572,Audenarde,flandre-orientale,1,flandre,0,19,-2.122495344321107
Kruisem,9770,Audenarde,flandre-orientale,1,flandre,0,19,-2.22066138919391
Sint-Martens-Latem,9830,Gent,flandre-orientale,1,flandre,0,10,-3.28788920324037
Lievegem,9931,Gent,flandre-orientale,1,flandre,0,10,-2.233278146200114
Kaprijke,9970,Eeklo,flandre-orientale,1,flandre,0,42,-2.152156797455978
Kaprijke,9971,Eeklo,flandre-orientale,1,flandre,0,42,-2.152156797455978
Sint-Laureins,9981,Eeklo,flandre-orientale,1,flandre,0,42,-1.3603794673916465
Maldegem,9991,Eeklo,flandre-orientale,1,flandre,0,42,-2.0755419727263984
Maldegem,9992,Eeklo,flandre-orientale,1,flandre,0,42,-2.0755419727263984
Bütgenbach,4750,Verviers,liege,4,wallonie,1,5,-0.5616472874693418
Amel,4770,Verviers,liege,4,wallonie,1,5,-0.4482983142048989
Weismes,4950,Verviers,liege,4,wallonie,1,5,-1.0216072843708939
Kelmis,4728,Verviers,liege,4,wallonie,1,5,-2.2499092598456496
Amel,4771,Verviers,liege,4,wallonie,1,5,-0.4482983142048989
Kelmis,4720,Verviers,liege,4,wallonie,1,5,-2.2499092598456496
Kelmis,4721,Verviers,liege,4,wallonie,1,5,-2.2499092598456496
Büllingen,4760,Verviers,liege,4,wallonie,1,5,-0.39666423881492385
Büllingen,4761,Verviers,liege,4,wallonie,1,5,-0.39666423881492385
Sankt Vith,4784,Verviers,liege,4,wallonie,1,5,-0.6570755402905435
Sankt Vith,4780,Verviers,liege,4,wallonie,1,5,-0.6570755402905435
Sankt Vith,4782,Verviers,liege,4,wallonie,1,5,-0.6570755402905435
Sankt Vith,4783,Verviers,liege,4,wallonie,1,5,-0.6570755402905435
